frame,id,x1,y1,x2,y2
1273,148,592,508,653,552
1273,150,1097,498,1151,553
1274,147,1642,902,1905,1080
1274,148,601,504,658,547
1274,150,1102,501,1155,557
1274,159,76,917,334,1079
1275,147,1680,936,1920,1080
1275,148,606,501,667,540
1275,150,1105,504,1161,561
1275,159,126,880,367,1049
1276,148,613,496,675,535
1276,150,1107,510,1165,569
1276,159,183,849,401,1005
1277,148,621,494,679,532
1277,150,1109,513,1171,576
1277,159,232,818,429,957
1278,148,627,490,683,529
1278,150,1115,520,1174,584
1278,159,273,789,455,918
1279,148,633,489,687,527
1279,150,1118,526,1179,590
1279,159,308,763,478,882
128,26,1182,515,1241,573
1280,148,641,484,692,522
1280,150,1122,534,1184,596
1280,159,341,737,499,852
1281,148,648,481,697,518
1281,150,1127,540,1191,604
1281,159,371,718,520,823
1282,148,652,478,701,513
1282,150,1129,547,1197,612
1282,159,396,698,536,799
1283,148,656,476,705,509
1283,150,1132,553,1202,623
1283,159,417,684,551,777
1284,148,663,471,713,505
1284,150,1138,561,1208,633
1284,159,443,667,568,755
1285,148,668,469,717,502
1285,150,1142,568,1217,643
1285,159,463,650,581,738
1286,148,675,468,720,500
1286,150,1149,575,1225,653
1286,159,480,638,596,721
1287,148,679,466,724,498
1287,150,1153,584,1236,663
1287,159,499,625,607,704
1288,148,683,464,728,496
1288,150,1161,593,1245,675
1288,159,513,615,619,691
1289,148,687,462,730,493
1289,150,1167,603,1255,689
1289,159,530,603,628,678
129,26,1190,519,1247,579
1290,148,692,461,732,490
1290,150,1174,613,1267,702
1290,159,545,594,637,665
1291,150,1183,623,1277,718
1291,159,556,585,647,654
1292,150,1189,633,1293,732
1292,159,568,576,656,643
1293,150,1198,645,1305,749
1293,159,581,568,666,632
1294,150,1208,660,1318,767
1294,159,590,560,672,624
1295,150,1219,674,1336,788
1295,159,602,552,680,613
1295,148,713,448,752,479
1296,150,1232,690,1353,812
1296,159,613,547,688,605
1296,164,1232,688,1353,815
1297,150,1243,707,1372,835
1297,159,621,540,697,598
1297,164,1243,707,1371,834
1298,150,1256,726,1393,860
1298,159,630,532,704,590
1298,164,1257,728,1395,862
1298,148,726,441,764,471
1299,150,1271,744,1417,888
1299,159,638,527,709,582
1299,164,1271,748,1420,891
13,1,1116,634,1196,709
130,26,1192,523,1252,584
1300,159,646,523,714,576
1300,164,1290,770,1449,926
1301,159,654,517,719,569
1301,164,1309,790,1480,961
1301,148,736,437,774,464
1301,150,1306,786,1474,954
1302,159,663,514,727,561
1302,164,1328,819,1514,1002
1303,159,669,508,733,556
1303,164,1352,852,1553,1047
1304,159,676,504,738,551
1304,164,1379,885,1599,1078
1305,159,680,502,741,547
1305,164,1409,924,1630,1080
1306,159,687,499,746,541
1307,159,693,496,750,537
1308,159,699,488,756,532
1309,159,705,484,762,528
131,26,1196,529,1259,590
1310,159,711,481,765,524
1311,159,716,479,768,519
1312,159,722,476,771,514
1313,159,726,474,776,510
1314,159,731,470,780,507
1315,159,736,465,785,505
1316,159,741,463,788,502
1317,159,746,461,791,499
1318,159,749,459,795,497
1319,159,753,457,800,494
132,26,1201,536,1267,597
1320,159,757,457,803,491
1321,159,761,455,805,488
1324,159,771,447,816,481
1325,159,776,448,817,479
1326,159,781,446,820,476
1327,159,786,442,823,473
1328,159,789,441,825,471
133,26,1207,540,1273,603
1330,159,795,438,833,467
1335,167,36,953,283,1079
1336,167,90,918,322,1064
1337,167,152,876,365,1023
1338,167,207,838,400,974
1339,167,248,807,428,930
134,26,1212,543,1279,609
1340,167,292,780,456,892
1341,167,327,755,478,856
1342,167,360,731,498,827
1343,167,389,710,518,800
1344,167,412,691,537,777
1345,167,436,674,553,753
1346,167,458,659,568,735
1347,167,480,643,583,717
1348,167,498,630,597,700
1349,167,512,619,609,686
135,26,1217,548,1285,615
1350,167,529,606,620,672
1351,167,545,596,630,659
1352,167,559,589,641,648
1353,167,572,579,652,636
1354,167,583,570,659,627
1355,167,595,559,668,615
1356,167,607,554,677,607
1357,167,616,549,685,598
1358,167,626,543,693,590
1359,167,637,533,701,581
136,26,1224,555,1295,624
1360,167,646,527,707,575
1361,167,655,524,713,569
1362,167,661,518,720,561
1363,167,670,512,727,554
1364,167,677,507,733,548
1365,167,685,504,737,544
1366,167,691,499,743,538
1367,167,698,495,748,534
1368,167,705,489,753,528
1369,167,711,485,759,523
137,26,1231,560,1305,630
1370,167,718,481,765,518
1371,167,723,479,768,513
1372,167,729,475,774,508
1373,167,734,471,778,507
1374,167,741,466,783,502
1375,167,745,465,787,499
1376,167,750,461,791,497
1377,167,755,458,794,492
1378,167,760,456,799,489
1379,167,764,454,804,487
138,26,1238,565,1314,638
139,26,1246,573,1322,647
14,1,1122,644,1207,723
140,26,1256,580,1332,655
141,26,1261,584,1343,665
142,26,1270,594,1355,673
143,26,1280,603,1366,684
144,26,1287,611,1378,696
145,26,1297,619,1391,706
146,26,1307,627,1407,720
1463,170,1134,478,1177,511
1464,170,1136,481,1180,514
1464,171,0,878,185,1029
1465,170,1138,486,1183,519
1465,171,4,846,225,984
1466,170,1139,491,1186,523
1466,171,49,812,268,938
1467,170,1141,491,1188,527
1467,171,105,781,306,903
1468,170,1145,493,1193,532
1468,171,155,758,339,866
1469,170,1150,492,1195,535
1469,171,200,734,366,829
147,26,1318,637,1420,731
1470,170,1154,496,1198,538
1470,171,241,713,394,802
1471,170,1156,499,1202,541
1471,171,276,694,425,778
1472,170,1158,508,1207,546
1472,171,306,676,443,760
1473,170,1161,514,1210,551
1473,171,335,661,461,741
1474,170,1165,515,1214,555
1474,171,362,645,481,722
1475,170,1167,517,1218,559
1475,171,388,635,495,704
1476,170,1170,516,1223,563
1476,171,407,620,514,688
1477,170,1176,522,1228,568
1477,171,427,611,528,677
1478,170,1178,530,1233,573
1478,171,448,604,541,666
1479,170,1183,538,1239,581
1479,171,466,592,555,653
148,26,1330,648,1435,746
1480,170,1187,541,1245,586
1480,171,482,584,572,636
1481,170,1189,540,1250,593
1481,171,498,573,582,629
1482,170,1194,541,1256,598
1482,171,511,566,596,620
1483,170,1204,552,1264,604
1483,171,524,559,602,612
1484,170,1210,561,1270,610
1484,171,537,553,609,600
1485,170,1214,563,1277,616
1485,171,551,545,622,593
1486,170,1217,566,1286,624
1486,171,560,538,635,585
1487,170,1224,575,1294,633
1487,171,572,534,642,580
1488,170,1228,582,1301,641
1488,171,582,530,648,575
1489,170,1234,585,1310,651
1489,171,593,524,654,566
149,26,1342,658,1454,760
